article,importance,importance_updated,quality,quality_updated,article_history_link,article_link,article_talk,article_talk_link,title,page_id,ns
Health Education Campus,Low-Class,2020-09-29T02:42:12Z,Start-Class,2020-09-29T02:42:12Z,https://en.wikipedia.org/w/index.php?title=Health%20Education%20Campus&action=history,https://en.wikipedia.org/w/index.php?title=Health%20Education%20Campus,Talk:Health Education Campus,https://en.wikipedia.org/w/index.php?title=Talk:Health%20Education%20Campus,Health Education Campus,64664564,0.0
Health Promotion Practice,Low-Class,2012-01-05T23:46:18Z,Start-Class,2012-01-03T17:16:54Z,https://en.wikipedia.org/w/index.php?title=Health%20Promotion%20Practice&action=history,https://en.wikipedia.org/w/index.php?title=Health%20Promotion%20Practice,Talk:Health Promotion Practice,https://en.wikipedia.org/w/index.php?title=Talk:Health%20Promotion%20Practice,Health Promotion Practice,33932604,0.0
Health care in the Philippines,Low-Class,2018-12-08T01:27:34Z,Start-Class,2018-12-04T17:04:46Z,https://en.wikipedia.org/w/index.php?title=Health%20care%20in%20the%20Philippines&action=history,https://en.wikipedia.org/w/index.php?title=Health%20care%20in%20the%20Philippines,Talk:Health care in the Philippines,https://en.wikipedia.org/w/index.php?title=Talk:Health%20care%20in%20the%20Philippines,Health care in the Philippines,16541330,0.0
Heinrich Laehr,Low-Class,2023-01-08T18:15:52Z,Start-Class,2022-04-03T10:54:25Z,https://en.wikipedia.org/w/index.php?title=Heinrich%20Laehr&action=history,https://en.wikipedia.org/w/index.php?title=Heinrich%20Laehr,Talk:Heinrich Laehr,https://en.wikipedia.org/w/index.php?title=Talk:Heinrich%20Laehr,Heinrich Laehr,34780276,0.0
Helmholtz Zentrum München,Low-Class,2024-05-04T05:11:14Z,Start-Class,2024-05-04T05:11:14Z,https://en.wikipedia.org/w/index.php?title=Helmholtz%20Zentrum%20M%C3%BCnchen&action=history,https://en.wikipedia.org/w/index.php?title=Helmholtz%20Zentrum%20M%C3%BCnchen,Talk:Helmholtz Zentrum München,https://en.wikipedia.org/w/index.php?title=Talk:Helmholtz%20Zentrum%20M%C3%BCnchen,Helmholtz Zentrum München,17401006,0.0
Helothermine,Low-Class,2017-10-10T11:09:27Z,Start-Class,2017-10-10T11:09:27Z,https://en.wikipedia.org/w/index.php?title=Helothermine&action=history,https://en.wikipedia.org/w/index.php?title=Helothermine,Talk:Helothermine,https://en.wikipedia.org/w/index.php?title=Talk:Helothermine,Helothermine,33439675,0.0
Hemoglobin D-Punjab,Low-Class,2017-02-19T14:05:47Z,Start-Class,2023-11-02T06:20:43Z,https://en.wikipedia.org/w/index.php?title=Hemoglobin%20D-Punjab&action=history,https://en.wikipedia.org/w/index.php?title=Hemoglobin%20D-Punjab,Talk:Hemoglobin D-Punjab,https://en.wikipedia.org/w/index.php?title=Talk:Hemoglobin%20D-Punjab,Hemoglobin D-Punjab,37741074,0.0
Henry Gray (Scottish surgeon),Low-Class,2017-02-17T04:58:20Z,Start-Class,2016-12-12T17:38:08Z,https://en.wikipedia.org/w/index.php?title=Henry%20Gray%20%28Scottish%20surgeon%29&action=history,https://en.wikipedia.org/w/index.php?title=Henry%20Gray%20%28Scottish%20surgeon%29,Talk:Henry Gray (Scottish surgeon),https://en.wikipedia.org/w/index.php?title=Talk:Henry%20Gray%20%28Scottish%20surgeon%29,Henry Gray (Scottish surgeon),52444505,0.0
Henry Souttar,Low-Class,2011-12-22T15:00:26Z,Start-Class,2011-12-22T15:00:26Z,https://en.wikipedia.org/w/index.php?title=Henry%20Souttar&action=history,https://en.wikipedia.org/w/index.php?title=Henry%20Souttar,Talk:Henry Souttar,https://en.wikipedia.org/w/index.php?title=Talk:Henry%20Souttar,Henry Souttar,22068133,0.0
Hermann Werner Siemens,Low-Class,2017-03-25T17:41:40Z,Start-Class,2013-07-19T16:25:15Z,https://en.wikipedia.org/w/index.php?title=Hermann%20Werner%20Siemens&action=history,https://en.wikipedia.org/w/index.php?title=Hermann%20Werner%20Siemens,Talk:Hermann Werner Siemens,https://en.wikipedia.org/w/index.php?title=Talk:Hermann%20Werner%20Siemens,Hermann Werner Siemens,20311356,0.0
Hims & Hers Health,Low-Class,2021-04-02T19:15:15Z,Start-Class,2021-04-02T19:15:15Z,https://en.wikipedia.org/w/index.php?title=Hims%20%26%20Hers%20Health&action=history,https://en.wikipedia.org/w/index.php?title=Hims%20%26%20Hers%20Health,Talk:Hims & Hers Health,https://en.wikipedia.org/w/index.php?title=Talk:Hims%20%26%20Hers%20Health,Hims & Hers Health,60570148,0.0
Howard Apfel,Low-Class,2020-04-06T15:57:57Z,Start-Class,2020-04-06T15:57:57Z,https://en.wikipedia.org/w/index.php?title=Howard%20Apfel&action=history,https://en.wikipedia.org/w/index.php?title=Howard%20Apfel,Talk:Howard Apfel,https://en.wikipedia.org/w/index.php?title=Talk:Howard%20Apfel,Howard Apfel,26278125,0.0
Howard Maibach,Low-Class,2013-08-29T15:33:35Z,Start-Class,2025-06-11T14:36:32Z,https://en.wikipedia.org/w/index.php?title=Howard%20Maibach&action=history,https://en.wikipedia.org/w/index.php?title=Howard%20Maibach,Talk:Howard Maibach,https://en.wikipedia.org/w/index.php?title=Talk:Howard%20Maibach,Howard Maibach,40364097,0.0
Hymenolepiasis,Low-Class,2008-01-25T23:55:56Z,Start-Class,2008-01-25T23:55:56Z,https://en.wikipedia.org/w/index.php?title=Hymenolepiasis&action=history,https://en.wikipedia.org/w/index.php?title=Hymenolepiasis,Talk:Hymenolepiasis,https://en.wikipedia.org/w/index.php?title=Talk:Hymenolepiasis,Hymenolepiasis,1043889,0.0
Hyperglycerolemia,Low-Class,2012-02-01T20:31:37Z,Start-Class,2019-03-13T14:50:12Z,https://en.wikipedia.org/w/index.php?title=Hyperglycerolemia&action=history,https://en.wikipedia.org/w/index.php?title=Hyperglycerolemia,Talk:Hyperglycerolemia,https://en.wikipedia.org/w/index.php?title=Talk:Hyperglycerolemia,Hyperglycerolemia,34527764,0.0
Hôpital Honoré-Mercier,Low-Class,2023-09-24T00:58:55Z,Start-Class,2023-09-24T00:58:55Z,https://en.wikipedia.org/w/index.php?title=H%C3%B4pital%20Honor%C3%A9-Mercier&action=history,https://en.wikipedia.org/w/index.php?title=H%C3%B4pital%20Honor%C3%A9-Mercier,Talk:Hôpital Honoré-Mercier,https://en.wikipedia.org/w/index.php?title=Talk:H%C3%B4pital%20Honor%C3%A9-Mercier,Hôpital Honoré-Mercier,58571422,0.0
I. Bhooshana Rao,Low-Class,2020-06-24T16:55:59Z,Start-Class,2020-06-24T16:55:59Z,https://en.wikipedia.org/w/index.php?title=I.%20Bhooshana%20Rao&action=history,https://en.wikipedia.org/w/index.php?title=I.%20Bhooshana%20Rao,Talk:I. Bhooshana Rao,https://en.wikipedia.org/w/index.php?title=Talk:I.%20Bhooshana%20Rao,I. Bhooshana Rao,47530289,0.0
ImKTx88,Low-Class,2017-10-10T11:26:26Z,Start-Class,2017-10-10T11:26:26Z,https://en.wikipedia.org/w/index.php?title=ImKTx88&action=history,https://en.wikipedia.org/w/index.php?title=ImKTx88,Talk:ImKTx88,https://en.wikipedia.org/w/index.php?title=Talk:ImKTx88,ImKTx88,55486942,0.0
Indian Psychiatric Society,Low-Class,2023-09-24T02:14:42Z,Start-Class,2023-09-24T02:14:42Z,https://en.wikipedia.org/w/index.php?title=Indian%20Psychiatric%20Society&action=history,https://en.wikipedia.org/w/index.php?title=Indian%20Psychiatric%20Society,Talk:Indian Psychiatric Society,https://en.wikipedia.org/w/index.php?title=Talk:Indian%20Psychiatric%20Society,Indian Psychiatric Society,26991666,0.0
Indira Hinduja,Low-Class,2018-08-01T10:37:02Z,Start-Class,2018-08-01T10:37:02Z,https://en.wikipedia.org/w/index.php?title=Indira%20Hinduja&action=history,https://en.wikipedia.org/w/index.php?title=Indira%20Hinduja,Talk:Indira Hinduja,https://en.wikipedia.org/w/index.php?title=Talk:Indira%20Hinduja,Indira Hinduja,38656255,0.0
Institute of Naval Medicine,Low-Class,2020-06-27T11:35:51Z,Start-Class,2020-06-27T11:35:51Z,https://en.wikipedia.org/w/index.php?title=Institute%20of%20Naval%20Medicine&action=history,https://en.wikipedia.org/w/index.php?title=Institute%20of%20Naval%20Medicine,Talk:Institute of Naval Medicine,https://en.wikipedia.org/w/index.php?title=Talk:Institute%20of%20Naval%20Medicine,Institute of Naval Medicine,64394483,0.0
Intonjane,Low-Class,2018-01-22T18:38:07Z,Start-Class,2018-01-22T18:38:07Z,https://en.wikipedia.org/w/index.php?title=Intonjane&action=history,https://en.wikipedia.org/w/index.php?title=Intonjane,Talk:Intonjane,https://en.wikipedia.org/w/index.php?title=Talk:Intonjane,Intonjane,54443966,0.0
Jackson Orem,Low-Class,2024-04-30T18:34:25Z,Start-Class,2020-06-03T11:04:09Z,https://en.wikipedia.org/w/index.php?title=Jackson%20Orem&action=history,https://en.wikipedia.org/w/index.php?title=Jackson%20Orem,Talk:Jackson Orem,https://en.wikipedia.org/w/index.php?title=Talk:Jackson%20Orem,Jackson Orem,50501780,0.0
James Macfadyen,Low-Class,2014-06-14T14:22:47Z,Start-Class,2014-06-14T14:22:47Z,https://en.wikipedia.org/w/index.php?title=James%20Macfadyen&action=history,https://en.wikipedia.org/w/index.php?title=James%20Macfadyen,Talk:James Macfadyen,https://en.wikipedia.org/w/index.php?title=Talk:James%20Macfadyen,James Macfadyen,21243673,0.0
James Robson (doctor),Low-Class,2018-01-10T02:24:33Z,Start-Class,2018-05-30T21:50:54Z,https://en.wikipedia.org/w/index.php?title=James%20Robson%20%28doctor%29&action=history,https://en.wikipedia.org/w/index.php?title=James%20Robson%20%28doctor%29,Talk:James Robson (doctor),https://en.wikipedia.org/w/index.php?title=Talk:James%20Robson%20%28doctor%29,James Robson (doctor),56228782,0.0
James Russell (surgeon),Low-Class,2017-01-15T10:24:09Z,Start-Class,2017-01-15T10:24:09Z,https://en.wikipedia.org/w/index.php?title=James%20Russell%20%28surgeon%29&action=history,https://en.wikipedia.org/w/index.php?title=James%20Russell%20%28surgeon%29,Talk:James Russell (surgeon),https://en.wikipedia.org/w/index.php?title=Talk:James%20Russell%20%28surgeon%29,James Russell (surgeon),48383341,0.0
Jeemon Panniyammakal,Low-Class,2024-04-29T01:49:51Z,Start-Class,2024-04-29T01:49:51Z,https://en.wikipedia.org/w/index.php?title=Jeemon%20Panniyammakal&action=history,https://en.wikipedia.org/w/index.php?title=Jeemon%20Panniyammakal,Talk:Jeemon Panniyammakal,https://en.wikipedia.org/w/index.php?title=Talk:Jeemon%20Panniyammakal,Jeemon Panniyammakal,68904016,0.0
John Arthur Power,Low-Class,2022-02-22T18:47:35Z,Start-Class,2022-02-21T19:58:10Z,https://en.wikipedia.org/w/index.php?title=John%20Arthur%20Power&action=history,https://en.wikipedia.org/w/index.php?title=John%20Arthur%20Power,Talk:John Arthur Power,https://en.wikipedia.org/w/index.php?title=Talk:John%20Arthur%20Power,John Arthur Power,67147991,0.0
John MacDonnell (surgeon),Low-Class,2021-09-03T22:29:39Z,Start-Class,2021-09-03T22:29:39Z,https://en.wikipedia.org/w/index.php?title=John%20MacDonnell%20%28surgeon%29&action=history,https://en.wikipedia.org/w/index.php?title=John%20MacDonnell%20%28surgeon%29,Talk:John MacDonnell (surgeon),https://en.wikipedia.org/w/index.php?title=Talk:John%20MacDonnell%20%28surgeon%29,John MacDonnell (surgeon),68639731,0.0
John Ramsay (surgeon),Low-Class,2012-11-27T03:19:21Z,Start-Class,2012-11-27T03:19:21Z,https://en.wikipedia.org/w/index.php?title=John%20Ramsay%20%28surgeon%29&action=history,https://en.wikipedia.org/w/index.php?title=John%20Ramsay%20%28surgeon%29,Talk:John Ramsay (surgeon),https://en.wikipedia.org/w/index.php?title=Talk:John%20Ramsay%20%28surgeon%29,John Ramsay (surgeon),25687784,0.0
John Wickham (urologist),Low-Class,2017-11-11T20:00:57Z,Start-Class,2017-11-14T10:25:07Z,https://en.wikipedia.org/w/index.php?title=John%20Wickham%20%28urologist%29&action=history,https://en.wikipedia.org/w/index.php?title=John%20Wickham%20%28urologist%29,Talk:John Wickham (urologist),https://en.wikipedia.org/w/index.php?title=Talk:John%20Wickham%20%28urologist%29,John Wickham (urologist),55772281,0.0
Joseph Graeme Humble,Low-Class,2018-07-13T23:49:07Z,Start-Class,2019-06-06T01:14:15Z,https://en.wikipedia.org/w/index.php?title=Joseph%20Graeme%20Humble&action=history,https://en.wikipedia.org/w/index.php?title=Joseph%20Graeme%20Humble,Talk:Joseph Graeme Humble,https://en.wikipedia.org/w/index.php?title=Talk:Joseph%20Graeme%20Humble,Joseph Graeme Humble,43342686,0.0
Josephine Nambooze,Low-Class,2017-03-25T18:30:59Z,Start-Class,2016-11-05T23:19:10Z,https://en.wikipedia.org/w/index.php?title=Josephine%20Nambooze&action=history,https://en.wikipedia.org/w/index.php?title=Josephine%20Nambooze,Talk:Josephine Nambooze,https://en.wikipedia.org/w/index.php?title=Talk:Josephine%20Nambooze,Josephine Nambooze,49031610,0.0
Journal of Epidemiology and Community Health,Low-Class,2011-11-25T16:11:35Z,Start-Class,2011-11-25T16:11:35Z,https://en.wikipedia.org/w/index.php?title=Journal%20of%20Epidemiology%20and%20Community%20Health&action=history,https://en.wikipedia.org/w/index.php?title=Journal%20of%20Epidemiology%20and%20Community%20Health,Talk:Journal of Epidemiology and Community Health,https://en.wikipedia.org/w/index.php?title=Talk:Journal%20of%20Epidemiology%20and%20Community%20Health,Journal of Epidemiology and Community Health,22145218,0.0
Journal of Materials Science: Materials in Medicine,Low-Class,2010-10-13T13:31:28Z,Start-Class,2010-10-13T13:31:28Z,https://en.wikipedia.org/w/index.php?title=Journal%20of%20Materials%20Science%3A%20Materials%20in%20Medicine&action=history,https://en.wikipedia.org/w/index.php?title=Journal%20of%20Materials%20Science%3A%20Materials%20in%20Medicine,Talk:Journal of Materials Science: Materials in Medicine,https://en.wikipedia.org/w/index.php?title=Talk:Journal%20of%20Materials%20Science%3A%20Materials%20in%20Medicine,Journal of Materials Science: Materials in Medicine,24633672,0.0
Julius Jeffreys,Low-Class,2019-07-03T13:28:24Z,Start-Class,2019-07-03T13:28:24Z,https://en.wikipedia.org/w/index.php?title=Julius%20Jeffreys&action=history,https://en.wikipedia.org/w/index.php?title=Julius%20Jeffreys,Talk:Julius Jeffreys,https://en.wikipedia.org/w/index.php?title=Talk:Julius%20Jeffreys,Julius Jeffreys,5349684,0.0
Kashin–Beck disease,Low-Class,2014-12-01T14:37:53Z,Start-Class,2014-12-01T14:37:53Z,https://en.wikipedia.org/w/index.php?title=Kashin%E2%80%93Beck%20disease&action=history,https://en.wikipedia.org/w/index.php?title=Kashin%E2%80%93Beck%20disease,Talk:Kashin–Beck disease,https://en.wikipedia.org/w/index.php?title=Talk:Kashin%E2%80%93Beck%20disease,Kashin–Beck disease,14386750,0.0
Katharine DeWitt,Low-Class,2022-09-11T08:07:20Z,Start-Class,2022-09-11T08:07:20Z,https://en.wikipedia.org/w/index.php?title=Katharine%20DeWitt&action=history,https://en.wikipedia.org/w/index.php?title=Katharine%20DeWitt,Talk:Katharine DeWitt,https://en.wikipedia.org/w/index.php?title=Talk:Katharine%20DeWitt,Katharine DeWitt,71681602,0.0
Katrin Kallsberg,Low-Class,2020-03-09T21:14:56Z,Start-Class,2020-03-09T21:14:56Z,https://en.wikipedia.org/w/index.php?title=Katrin%20Kallsberg&action=history,https://en.wikipedia.org/w/index.php?title=Katrin%20Kallsberg,Talk:Katrin Kallsberg,https://en.wikipedia.org/w/index.php?title=Talk:Katrin%20Kallsberg,Katrin Kallsberg,49788402,0.0
Kerley lines,Low-Class,2008-03-03T06:53:07Z,Start-Class,2008-03-03T06:53:07Z,https://en.wikipedia.org/w/index.php?title=Kerley%20lines&action=history,https://en.wikipedia.org/w/index.php?title=Kerley%20lines,Talk:Kerley lines,https://en.wikipedia.org/w/index.php?title=Talk:Kerley%20lines,Kerley lines,4743725,0.0
Kinnikinnick,Low-Class,2023-09-24T17:03:11Z,Start-Class,2023-09-24T17:03:11Z,https://en.wikipedia.org/w/index.php?title=Kinnikinnick&action=history,https://en.wikipedia.org/w/index.php?title=Kinnikinnick,Talk:Kinnikinnick,https://en.wikipedia.org/w/index.php?title=Talk:Kinnikinnick,Kinnikinnick,31647999,0.0
Kniest dysplasia,Low-Class,2007-12-06T05:19:25Z,Start-Class,2007-12-06T05:19:25Z,https://en.wikipedia.org/w/index.php?title=Kniest%20dysplasia&action=history,https://en.wikipedia.org/w/index.php?title=Kniest%20dysplasia,Talk:Kniest dysplasia,https://en.wikipedia.org/w/index.php?title=Talk:Kniest%20dysplasia,Kniest dysplasia,2573848,0.0
Leber congenital amaurosis,Low-Class,2007-12-15T21:07:11Z,Start-Class,2007-12-15T21:07:11Z,https://en.wikipedia.org/w/index.php?title=Leber%20congenital%20amaurosis&action=history,https://en.wikipedia.org/w/index.php?title=Leber%20congenital%20amaurosis,Talk:Leber congenital amaurosis,https://en.wikipedia.org/w/index.php?title=Talk:Leber%20congenital%20amaurosis,Leber congenital amaurosis,2707423,0.0
Lenticonus,Low-Class,2023-09-24T17:18:20Z,Start-Class,2023-09-24T17:18:20Z,https://en.wikipedia.org/w/index.php?title=Lenticonus&action=history,https://en.wikipedia.org/w/index.php?title=Lenticonus,Talk:Lenticonus,https://en.wikipedia.org/w/index.php?title=Talk:Lenticonus,Lenticonus,32533129,0.0
Leslie Dan,Low-Class,2023-09-01T03:09:21Z,Start-Class,2023-09-01T03:09:21Z,https://en.wikipedia.org/w/index.php?title=Leslie%20Dan&action=history,https://en.wikipedia.org/w/index.php?title=Leslie%20Dan,Talk:Leslie Dan,https://en.wikipedia.org/w/index.php?title=Talk:Leslie%20Dan,Leslie Dan,1429943,0.0
Leslie Shanks,Low-Class,2024-03-03T18:46:49Z,Start-Class,2022-01-15T09:44:23Z,https://en.wikipedia.org/w/index.php?title=Leslie%20Shanks&action=history,https://en.wikipedia.org/w/index.php?title=Leslie%20Shanks,Talk:Leslie Shanks,https://en.wikipedia.org/w/index.php?title=Talk:Leslie%20Shanks,Leslie Shanks,69761515,0.0
Life Study (project),Low-Class,2023-09-24T17:21:47Z,Start-Class,2023-09-24T17:21:47Z,https://en.wikipedia.org/w/index.php?title=Life%20Study%20%28project%29&action=history,https://en.wikipedia.org/w/index.php?title=Life%20Study%20%28project%29,Talk:Life Study (project),https://en.wikipedia.org/w/index.php?title=Talk:Life%20Study%20%28project%29,Life Study (project),36786006,0.0
Lillian Atkins Clark,Low-Class,2020-07-27T16:34:11Z,Start-Class,2022-08-17T12:10:55Z,https://en.wikipedia.org/w/index.php?title=Lillian%20Atkins%20Clark&action=history,https://en.wikipedia.org/w/index.php?title=Lillian%20Atkins%20Clark,Talk:Lillian Atkins Clark,https://en.wikipedia.org/w/index.php?title=Talk:Lillian%20Atkins%20Clark,Lillian Atkins Clark,63906006,0.0
Long Grove Hospital,Low-Class,2021-11-21T09:24:49Z,Start-Class,2021-11-21T09:24:49Z,https://en.wikipedia.org/w/index.php?title=Long%20Grove%20Hospital&action=history,https://en.wikipedia.org/w/index.php?title=Long%20Grove%20Hospital,Talk:Long Grove Hospital,https://en.wikipedia.org/w/index.php?title=Talk:Long%20Grove%20Hospital,Long Grove Hospital,2676877,0.0
Lorna Lloyd-Green,Low-Class,2018-08-15T09:51:29Z,Start-Class,2020-03-08T19:47:42Z,https://en.wikipedia.org/w/index.php?title=Lorna%20Lloyd-Green&action=history,https://en.wikipedia.org/w/index.php?title=Lorna%20Lloyd-Green,Talk:Lorna Lloyd-Green,https://en.wikipedia.org/w/index.php?title=Talk:Lorna%20Lloyd-Green,Lorna Lloyd-Green,48913415,0.0
Lu Shixin,Low-Class,2020-01-28T09:48:57Z,Start-Class,2020-01-28T09:48:57Z,https://en.wikipedia.org/w/index.php?title=Lu%20Shixin&action=history,https://en.wikipedia.org/w/index.php?title=Lu%20Shixin,Talk:Lu Shixin,https://en.wikipedia.org/w/index.php?title=Talk:Lu%20Shixin,Lu Shixin,62530569,0.0
Lucius E. Burch,Low-Class,2017-01-15T09:05:06Z,Start-Class,2016-01-11T18:39:48Z,https://en.wikipedia.org/w/index.php?title=Lucius%20E.%20Burch&action=history,https://en.wikipedia.org/w/index.php?title=Lucius%20E.%20Burch,Talk:Lucius E. Burch,https://en.wikipedia.org/w/index.php?title=Talk:Lucius%20E.%20Burch,Lucius E. Burch,45388635,0.0
Mal de debarquement,Low-Class,2008-01-17T06:52:41Z,Start-Class,2008-01-17T06:52:41Z,https://en.wikipedia.org/w/index.php?title=Mal%20de%20debarquement&action=history,https://en.wikipedia.org/w/index.php?title=Mal%20de%20debarquement,Talk:Mal de debarquement,https://en.wikipedia.org/w/index.php?title=Talk:Mal%20de%20debarquement,Mal de debarquement,362417,0.0
Margaret McKellar,Low-Class,2018-11-16T20:36:28Z,Start-Class,2018-11-16T20:36:28Z,https://en.wikipedia.org/w/index.php?title=Margaret%20McKellar&action=history,https://en.wikipedia.org/w/index.php?title=Margaret%20McKellar,Talk:Margaret McKellar,https://en.wikipedia.org/w/index.php?title=Talk:Margaret%20McKellar,Margaret McKellar,59078668,0.0
Mark T. Gladwin,Low-Class,2023-12-26T01:04:29Z,Start-Class,2023-12-26T01:04:29Z,https://en.wikipedia.org/w/index.php?title=Mark%20T.%20Gladwin&action=history,https://en.wikipedia.org/w/index.php?title=Mark%20T.%20Gladwin,Talk:Mark T. Gladwin,https://en.wikipedia.org/w/index.php?title=Talk:Mark%20T.%20Gladwin,Mark T. Gladwin,75645489,0.0
Maternal somatic support after brain death,Low-Class,2017-02-17T00:59:25Z,Start-Class,2014-03-20T07:19:09Z,https://en.wikipedia.org/w/index.php?title=Maternal%20somatic%20support%20after%20brain%20death&action=history,https://en.wikipedia.org/w/index.php?title=Maternal%20somatic%20support%20after%20brain%20death,Talk:Maternal somatic support after brain death,https://en.wikipedia.org/w/index.php?title=Talk:Maternal%20somatic%20support%20after%20brain%20death,Maternal somatic support after brain death,41907939,0.0
Matthew Meyerson,Low-Class,2023-09-25T23:17:44Z,Start-Class,2023-09-25T23:17:44Z,https://en.wikipedia.org/w/index.php?title=Matthew%20Meyerson&action=history,https://en.wikipedia.org/w/index.php?title=Matthew%20Meyerson,Talk:Matthew Meyerson,https://en.wikipedia.org/w/index.php?title=Talk:Matthew%20Meyerson,Matthew Meyerson,69660394,0.0
Maudsley Prescribing Guidelines,Low-Class,2014-03-28T14:33:37Z,Start-Class,2022-02-26T18:38:54Z,https://en.wikipedia.org/w/index.php?title=Maudsley%20Prescribing%20Guidelines&action=history,https://en.wikipedia.org/w/index.php?title=Maudsley%20Prescribing%20Guidelines,Talk:Maudsley Prescribing Guidelines,https://en.wikipedia.org/w/index.php?title=Talk:Maudsley%20Prescribing%20Guidelines,Maudsley Prescribing Guidelines,41722845,0.0
Mbarara University,Low-Class,2023-09-25T02:14:48Z,Start-Class,2023-09-25T02:14:48Z,https://en.wikipedia.org/w/index.php?title=Mbarara%20University&action=history,https://en.wikipedia.org/w/index.php?title=Mbarara%20University,Talk:Mbarara University,https://en.wikipedia.org/w/index.php?title=Talk:Mbarara%20University,Mbarara University,2077672,0.0
Meacham syndrome,Low-Class,2022-07-01T09:47:19Z,Start-Class,2022-07-01T09:47:19Z,https://en.wikipedia.org/w/index.php?title=Meacham%20syndrome&action=history,https://en.wikipedia.org/w/index.php?title=Meacham%20syndrome,Talk:Meacham syndrome,https://en.wikipedia.org/w/index.php?title=Talk:Meacham%20syndrome,Meacham syndrome,71189722,0.0
Mechanisms of mindfulness meditation,Low-Class,2013-11-26T16:02:43Z,Start-Class,2013-11-26T16:02:43Z,https://en.wikipedia.org/w/index.php?title=Mechanisms%20of%20mindfulness%20meditation&action=history,https://en.wikipedia.org/w/index.php?title=Mechanisms%20of%20mindfulness%20meditation,Talk:Mechanisms of mindfulness meditation,https://en.wikipedia.org/w/index.php?title=Talk:Mechanisms%20of%20mindfulness%20meditation,Mechanisms of mindfulness meditation,41119232,0.0
Medical universities in Myanmar,Low-Class,2023-09-25T22:46:07Z,Start-Class,2023-09-25T22:46:07Z,https://en.wikipedia.org/w/index.php?title=Medical%20universities%20in%20Myanmar&action=history,https://en.wikipedia.org/w/index.php?title=Medical%20universities%20in%20Myanmar,Talk:Medical universities in Myanmar,https://en.wikipedia.org/w/index.php?title=Talk:Medical%20universities%20in%20Myanmar,Medical universities in Myanmar,9188033,0.0
Menzies Institute for Medical Research,Low-Class,2013-08-05T03:06:33Z,Start-Class,2013-08-05T03:06:33Z,https://en.wikipedia.org/w/index.php?title=Menzies%20Institute%20for%20Medical%20Research&action=history,https://en.wikipedia.org/w/index.php?title=Menzies%20Institute%20for%20Medical%20Research,Talk:Menzies Institute for Medical Research,https://en.wikipedia.org/w/index.php?title=Talk:Menzies%20Institute%20for%20Medical%20Research,Menzies Institute for Medical Research,27606148,0.0
Meyer Löw Schomberg,Low-Class,2010-09-03T13:55:00Z,Start-Class,2010-09-03T13:55:00Z,https://en.wikipedia.org/w/index.php?title=Meyer%20L%C3%B6w%20Schomberg&action=history,https://en.wikipedia.org/w/index.php?title=Meyer%20L%C3%B6w%20Schomberg,Talk:Meyer Löw Schomberg,https://en.wikipedia.org/w/index.php?title=Talk:Meyer%20L%C3%B6w%20Schomberg,Meyer Löw Schomberg,13139361,0.0
Michel aplasia,Low-Class,2015-10-05T17:49:41Z,Start-Class,2016-08-30T15:27:46Z,https://en.wikipedia.org/w/index.php?title=Michel%20aplasia&action=history,https://en.wikipedia.org/w/index.php?title=Michel%20aplasia,Talk:Michel aplasia,https://en.wikipedia.org/w/index.php?title=Talk:Michel%20aplasia,Michel aplasia,47453594,0.0
Michelson Medical Research Foundation,Low-Class,2024-04-17T05:04:11Z,Start-Class,2024-04-17T05:04:11Z,https://en.wikipedia.org/w/index.php?title=Michelson%20Medical%20Research%20Foundation&action=history,https://en.wikipedia.org/w/index.php?title=Michelson%20Medical%20Research%20Foundation,Talk:Michelson Medical Research Foundation,https://en.wikipedia.org/w/index.php?title=Talk:Michelson%20Medical%20Research%20Foundation,Michelson Medical Research Foundation,49475617,0.0
Mina Izadyar,Low-Class,2020-10-02T00:17:11Z,Start-Class,2020-10-02T00:17:11Z,https://en.wikipedia.org/w/index.php?title=Mina%20Izadyar&action=history,https://en.wikipedia.org/w/index.php?title=Mina%20Izadyar,Talk:Mina Izadyar,https://en.wikipedia.org/w/index.php?title=Talk:Mina%20Izadyar,Mina Izadyar,56128942,0.0
Ministry of Health (Ontario),Low-Class,2011-03-13T02:15:33Z,Start-Class,2011-03-13T02:15:33Z,https://en.wikipedia.org/w/index.php?title=Ministry%20of%20Health%20%28Ontario%29&action=history,https://en.wikipedia.org/w/index.php?title=Ministry%20of%20Health%20%28Ontario%29,Talk:Ministry of Health (Ontario),https://en.wikipedia.org/w/index.php?title=Talk:Ministry%20of%20Health%20%28Ontario%29,Ministry of Health (Ontario),1739598,0.0
Morton Smart,Low-Class,2021-07-25T15:06:14Z,Start-Class,2021-07-24T15:17:07Z,https://en.wikipedia.org/w/index.php?title=Morton%20Smart&action=history,https://en.wikipedia.org/w/index.php?title=Morton%20Smart,Talk:Morton Smart,https://en.wikipedia.org/w/index.php?title=Talk:Morton%20Smart,Morton Smart,68312327,0.0
Multifocal intraocular lens,Low-Class,2012-08-30T14:59:09Z,Start-Class,2023-11-04T07:08:25Z,https://en.wikipedia.org/w/index.php?title=Multifocal%20intraocular%20lens&action=history,https://en.wikipedia.org/w/index.php?title=Multifocal%20intraocular%20lens,Talk:Multifocal intraocular lens,https://en.wikipedia.org/w/index.php?title=Talk:Multifocal%20intraocular%20lens,Multifocal intraocular lens,36814787,0.0
